primaryCaseID,justiceID,justiceName
1212,36,RTaschereau
1212,41,JRCartwright
1213,42,JHGFauteux
1213,43,DCAbbott
1213,48,EMHall
1213,50,LPPigeon
1214,42,JHGFauteux
1214,45,RMartland
1214,46,WJudson
1214,47,RARitchie
1215,42,JHGFauteux
1215,45,RMartland
1215,46,WJudson
1215,47,RARitchie
1216,42,JHGFauteux
1216,45,RMartland
1216,48,EMHall
1216,49,WFSpence
1218,42,JHGFauteux
1218,43,DCAbbott
1218,49,WFSpence
1218,50,LPPigeon
1219,42,JHGFauteux
1219,43,DCAbbott
1219,45,RMartland
1219,50,LPPigeon
1220,41,JRCartwright
1220,43,DCAbbott
1220,45,RMartland
1220,48,EMHall
1220,49,WFSpence
1220,50,LPPigeon
1221,42,JHGFauteux
1221,43,DCAbbott
1221,47,RARitchie
1221,50,LPPigeon
1224,36,RTaschereau
1224,41,JRCartwright
1224,46,WJudson
1224,49,WFSpence
1225,41,JRCartwright
1225,42,JHGFauteux
1225,45,RMartland
1225,50,LPPigeon
1226,42,JHGFauteux
1226,43,DCAbbott
1226,46,WJudson
1226,47,RARitchie
1226,49,WFSpence
1226,50,LPPigeon
1227,42,JHGFauteux
1227,43,DCAbbott
1227,47,RARitchie
1227,50,LPPigeon
1228,41,JRCartwright
1228,42,JHGFauteux
1228,43,DCAbbott
1228,45,RMartland
1229,42,JHGFauteux
1229,43,DCAbbott
1229,48,EMHall
1229,49,WFSpence
1230,42,JHGFauteux
1230,48,EMHall
1230,49,WFSpence
1230,50,LPPigeon
1231,42,JHGFauteux
1231,45,RMartland
1231,46,WJudson
1231,50,LPPigeon
1232,46,WJudson
1232,47,RARitchie
1232,48,EMHall
1232,50,LPPigeon
1233,41,JRCartwright
1233,43,DCAbbott
1233,46,WJudson
1233,48,EMHall
1234,36,RTaschereau
1234,48,EMHall
1236,43,DCAbbott
1236,47,RARitchie
1236,48,EMHall
1236,49,WFSpence
1237,36,RTaschereau
1237,41,JRCartwright
1237,45,RMartland
1237,47,RARitchie
1238,42,JHGFauteux
1238,43,DCAbbott
1238,46,WJudson
1238,49,WFSpence
1239,42,JHGFauteux
1239,43,DCAbbott
1239,45,RMartland
1239,50,LPPigeon
1240,42,JHGFauteux
1240,43,DCAbbott
1240,47,RARitchie
1240,49,WFSpence
1241,42,JHGFauteux
1241,43,DCAbbott
1241,46,WJudson
1241,50,LPPigeon
1242,41,JRCartwright
1242,42,JHGFauteux
1242,43,DCAbbott
1242,50,LPPigeon
1243,41,JRCartwright
1243,42,JHGFauteux
1243,43,DCAbbott
1243,45,RMartland
1244,42,JHGFauteux
1244,43,DCAbbott
1244,46,WJudson
1244,49,WFSpence
1245,42,JHGFauteux
1245,43,DCAbbott
1245,48,EMHall
1245,50,LPPigeon
1246,42,JHGFauteux
1246,43,DCAbbott
1246,46,WJudson
1246,50,LPPigeon
1247,43,DCAbbott
1247,45,RMartland
1247,49,WFSpence
1247,50,LPPigeon
1248,42,JHGFauteux
1248,43,DCAbbott
1248,47,RARitchie
1248,50,LPPigeon
1249,42,JHGFauteux
1249,43,DCAbbott
1249,45,RMartland
1249,48,EMHall
1250,42,JHGFauteux
1250,43,DCAbbott
1250,45,RMartland
1250,50,LPPigeon
1251,42,JHGFauteux
1251,43,DCAbbott
1251,49,WFSpence
1251,50,LPPigeon
1252,42,JHGFauteux
1252,43,DCAbbott
1252,45,RMartland
1252,50,LPPigeon
1253,41,JRCartwright
1253,43,DCAbbott
1253,48,EMHall
1253,49,WFSpence
1254,41,JRCartwright
1254,42,JHGFauteux
1254,43,DCAbbott
1254,48,EMHall
1255,42,JHGFauteux
1255,43,DCAbbott
1255,47,RARitchie
1255,50,LPPigeon
1256,42,JHGFauteux
1256,43,DCAbbott
1256,49,WFSpence
1256,50,LPPigeon
1257,42,JHGFauteux
1257,43,DCAbbott
1257,47,RARitchie
1257,50,LPPigeon
1258,42,JHGFauteux
1258,43,DCAbbott
1258,48,EMHall
1258,50,LPPigeon
1259,42,JHGFauteux
1259,43,DCAbbott
1259,47,RARitchie
1259,50,LPPigeon
1260,43,DCAbbott
1260,46,WJudson
1260,47,RARitchie
1260,49,WFSpence
1261,43,DCAbbott
1261,48,EMHall
1262,42,JHGFauteux
1262,43,DCAbbott
1262,48,EMHall
1262,50,LPPigeon
1263,43,DCAbbott
1263,46,WJudson
1263,47,RARitchie
1263,49,WFSpence
1264,41,JRCartwright
1264,43,DCAbbott
1264,45,RMartland
1264,50,LPPigeon
1265,42,JHGFauteux
1265,43,DCAbbott
1265,48,EMHall
1265,50,LPPigeon
1266,42,JHGFauteux
1266,43,DCAbbott
1266,45,RMartland
1266,48,EMHall
1267,41,JRCartwright
1267,43,DCAbbott
1267,46,WJudson
1267,47,RARitchie
1268,41,JRCartwright
1268,42,JHGFauteux
1268,43,DCAbbott
1268,50,LPPigeon
1269,42,JHGFauteux
1269,43,DCAbbott
1269,45,RMartland
1269,50,LPPigeon
