primaryCaseID,justiceID,justiceName
1487,42,JHGFauteux
1487,43,DCAbbott
1487,45,RMartland
1487,48,EMHall
1488,43,DCAbbott
1488,47,RARitchie
1488,48,EMHall
1488,50,LPPigeon
1489,50,LPPigeon
1489,51,BLaskin
1490,43,DCAbbott
1490,51,BLaskin
1491,42,JHGFauteux
1491,43,DCAbbott
1491,50,LPPigeon
1491,51,BLaskin
1492,42,JHGFauteux
1492,43,DCAbbott
1492,49,WFSpence
1492,50,LPPigeon
1493,45,RMartland
1493,47,RARitchie
1493,48,EMHall
1493,49,WFSpence
1494,42,JHGFauteux
1494,43,DCAbbott
1494,48,EMHall
1494,50,LPPigeon
1495,42,JHGFauteux
1495,43,DCAbbott
1495,48,EMHall
1495,51,BLaskin
1496,43,DCAbbott
1496,48,EMHall
1496,49,WFSpence
1496,50,LPPigeon
1497,42,JHGFauteux
1497,43,DCAbbott
1497,47,RARitchie
1497,50,LPPigeon
1498,42,JHGFauteux
1498,45,RMartland
1498,46,WJudson
1498,47,RARitchie
1500,42,JHGFauteux
1500,43,DCAbbott
1500,45,RMartland
1500,46,WJudson
1501,45,RMartland
1501,46,WJudson
1501,47,RARitchie
1501,48,EMHall
1503,42,JHGFauteux
1503,45,RMartland
1503,46,WJudson
1503,47,RARitchie
1503,49,WFSpence
1503,51,BLaskin
1506,42,JHGFauteux
1506,43,DCAbbott
1506,45,RMartland
1506,50,LPPigeon
1507,42,JHGFauteux
1507,43,DCAbbott
1507,45,RMartland
1507,46,WJudson
1508,42,JHGFauteux
1508,43,DCAbbott
1508,46,WJudson
1508,49,WFSpence
1509,42,JHGFauteux
1509,43,DCAbbott
1509,48,EMHall
1509,50,LPPigeon
1510,47,RARitchie
1510,48,EMHall
1510,49,WFSpence
1510,51,BLaskin
1511,42,JHGFauteux
1511,45,RMartland
1511,47,RARitchie
1511,50,LPPigeon
1512,42,JHGFauteux
1512,43,DCAbbott
1512,50,LPPigeon
1512,51,BLaskin
1513,42,JHGFauteux
1513,43,DCAbbott
1513,50,LPPigeon
1513,51,BLaskin
1514,42,JHGFauteux
1514,48,EMHall
1514,50,LPPigeon
1514,51,BLaskin
1515,45,RMartland
1515,46,WJudson
1515,49,WFSpence
1515,51,BLaskin
1516,45,RMartland
1516,46,WJudson
1516,47,RARitchie
1516,48,EMHall
1517,42,JHGFauteux
1517,47,RARitchie
1517,49,WFSpence
1517,50,LPPigeon
1518,42,JHGFauteux
1518,43,DCAbbott
1518,47,RARitchie
1518,50,LPPigeon
1519,42,JHGFauteux
1519,43,DCAbbott
1519,46,WJudson
1519,51,BLaskin
1520,42,JHGFauteux
1520,43,DCAbbott
1520,45,RMartland
1520,46,WJudson
1521,42,JHGFauteux
1521,43,DCAbbott
1521,50,LPPigeon
1521,51,BLaskin
1522,45,RMartland
1522,46,WJudson
1522,49,WFSpence
1522,51,BLaskin
1523,42,JHGFauteux
1523,43,DCAbbott
1523,47,RARitchie
1523,50,LPPigeon
1524,42,JHGFauteux
1524,43,DCAbbott
1524,50,LPPigeon
1524,51,BLaskin
1525,47,RARitchie
1525,48,EMHall
1525,49,WFSpence
1525,51,BLaskin
1526,47,RARitchie
1526,48,EMHall
1526,49,WFSpence
1526,51,BLaskin
1527,42,JHGFauteux
1527,43,DCAbbott
1527,46,WJudson
1527,50,LPPigeon
1528,46,WJudson
1528,48,EMHall
